         162113472 function calls (133249771 primitive calls) in 62.759 seconds

   Ordered by: cumulative time
   List reduced from 995 to 140 due to restriction <140>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2103155    0.860    0.000    1.337    0.000 copy.py:231(_keep_alive)
7569981/7568147    1.157    0.000    1.158    0.000 {built-in method builtins.getattr}
      510    0.017    0.000    1.085    0.002 inqsi_pull_history.py:589(validate_provider_schedule_manifest)
       15    0.000    0.000    1.062    0.071 mlb_daily_per_game_lock_patch.py:3400(_diagnostic_history)
        1    0.000    0.000    0.929    0.929 mlb_daily_per_game_lock_patch.py:545(_prime_status_manifest_items)
        2    0.001    0.001    0.913    0.457 mlb_daily_per_game_lock_patch.py:281(_prime_status_exact_items)
     2027    0.006    0.000    0.903    0.000 __init__.py:183(dumps)
     2027    0.004    0.000    0.896    0.000 encoder.py:183(encode)
     2027    0.890    0.000    0.890    0.000 encoder.py:205(iterencode)
   871091    0.450    0.000    0.822    0.000 {method 'as_tuple' of 'decimal.Decimal' objects}
 11809184    0.768    0.000    0.768    0.000 copy.py:172(_deepcopy_atomic)
        2    0.002    0.001    0.739    0.369 inqsi_pull_history.py:869(verified_full_slate_manifest)
7153235/7153095    0.686    0.000    0.688    0.000 {built-in method builtins.isinstance}
  4715765    0.490    0.000    0.490    0.000 {built-in method builtins.issubclass}
  4715671    0.468    0.000    0.468    0.000 {method '__deepcopy__' of 'decimal.Decimal' objects}
        4    0.000    0.000    0.461    0.115 inqsi_pull_history.py:695(provider_manifest_games_for_lock)
  2809657    0.414    0.000    0.414    0.000 {method 'items' of 'dict' objects}
      322    0.002    0.000    0.390    0.001 inqsi_pull_history.py:234(_pull_integrity_errors)
        1    0.000    0.000    0.364    0.364 mlb_daily_lock_coverage_patch.py:191(latest_games_for_date)
        1    0.000    0.000    0.364    0.364 mlb_daily_lock_coverage_patch.py:11(_latest_games)
      518    0.003    0.000    0.351    0.001 inqsi_pull_history.py:548(provider_manifest_fingerprint)
  2528622    0.320    0.000    0.320    0.000 {method 'append' of 'list' objects}
       35    0.000    0.000    0.312    0.009 connectionpool.py:1101(_validate_conn)
        2    0.000    0.000    0.312    0.156 connection.py:609(connect)
