sport,slateDate,commenceTime,matchup,predictedWinner,winner,score,winProbabilityPct,marketProb,marketEdge,marketDelta,marketGap,bookDivergence,reversalCount,movementPerReversal,runLineMoveAbs,bookAgreement,bookDivergenceFlag,runLineMove,runLineAligned,unconfirmedRunLine,steam,steamAligned,resistance,compressedMarket,missingFundamentals,lowPullDepth,favoriteRisk,opponentFavored,highReversalDirectional,highReversalWeak,selectedUnderdog,selectedFavorite,underdogPositiveMove,underdogEdgeImproving,favoriteFlatMoveRisk,favoriteCompressedRisk,lean,passTier,label
mlb,2026-07-05,2026-07-05T17:06:21Z,Baltimore Orioles at Cincinnati Reds,Baltimore Orioles,Cincinnati Reds,46.73,47.77,0.51121,0.02242000000000005,0.01513,0.02241,0.03457,1.0,0.01513,10.939,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
mlb,2026-07-05,2026-07-05T17:37:09Z,Minnesota Twins at New York Yankees,New York Yankees,Minnesota Twins,40.84,44.68,0.54501,0.09001999999999999,-0.01172,0.09001,0.01491,6.0,0.0019533333333333334,20.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-04,2026-07-05T01:39:00Z,Boston Red Sox at Los Angeles Angels,Boston Red Sox,Boston Red Sox,65.88,78.97,0.59665,0.19330000000000003,0.01061,0.1933,0.01382,0.0,0.01061,18.727,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
mlb,2026-07-04,2026-07-05T01:41:00Z,Milwaukee Brewers at Arizona Diamondbacks,Milwaukee Brewers,Arizona Diamondbacks,62.33,73.64,0.53191,0.06381999999999999,0.00807,0.06383,0.00616,0.0,0.00807,1.273,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
mlb,2026-07-04,2026-07-05T01:41:00Z,Miami Marlins at Athletics,Miami Marlins,Miami Marlins,100.0,95.0,0.89313,0.78626,0.42575,0.78625,0.07067,10.0,0.042575,9820.333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mlb,2026-07-04,2026-07-05T02:11:00Z,San Diego Padres at Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,100.0,95.0,0.5231,0.04620000000000002,0.17783,0.04619,0.03447,6.0,0.029638333333333333,275.125,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
mlb,2026-07-05,2026-07-05T17:06:21Z,Baltimore Orioles at Cincinnati Reds,Cincinnati Reds,Cincinnati Reds,38.75,28.14,0.50017,0.00034000000000000696,-0.00376,0.00034,0.02037,1.0,0.00376,5.818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
mlb,2026-07-05,2026-07-05T18:17:11Z,New York Mets at Atlanta Braves,Atlanta Braves,New York Mets,26.36,12.24,0.51947,0.038939999999999975,-0.00917,0.03893,0.01989,2.0,0.004585,196.545,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
mlb,2026-07-05,2026-07-05T19:32:02Z,Chicago White Sox at Cleveland Guardians,Cleveland Guardians,Chicago White Sox,35.83,23.49,0.57508,0.15016000000000002,-0.01257,0.15016,0.02523,2.0,0.006285,4.182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-05,2026-07-05T20:07:34Z,San Francisco Giants at Colorado Rockies,San Francisco Giants,Colorado Rockies,32.15,18.43,0.53244,0.06488000000000005,-0.00499,0.06488,0.01689,3.0,0.0016633333333333333,1.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-05,2026-07-05T20:31:00Z,Miami Marlins at Athletics,Miami Marlins,Miami Marlins,100.0,95.0,0.89313,0.78626,0.42575,0.78625,0.07067,10.0,0.042575,9820.333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mlb,2026-07-04,2026-07-05T00:09:00Z,New York Mets at Atlanta Braves,Atlanta Braves,Atlanta Braves,26.36,12.24,0.51947,0.038939999999999975,-0.00917,0.03893,0.01989,2.0,0.004585,196.545,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
mlb,2026-07-04,2026-07-05T00:11:00Z,Philadelphia Phillies at Kansas City Royals,Philadelphia Phillies,Philadelphia Phillies,61.43,72.16,0.55985,0.11969999999999997,0.00069,0.11969,0.00884,0.0,0.00069,2.455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
mlb,2026-07-04,2026-07-05T00:55:00Z,San Francisco Giants at Colorado Rockies,San Francisco Giants,San Francisco Giants,32.15,18.43,0.53244,0.06488000000000005,-0.00499,0.06488,0.01689,3.0,0.0016633333333333333,1.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
mlb,2026-07-04,2026-07-05T01:07:02Z,St. Louis Cardinals at Chicago Cubs,Chicago Cubs,St. Louis Cardinals,57.53,65.19,0.58048,0.16096,0.00423,0.16096,0.0135,1.0,0.00423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
